movie_id,movie_name,director_name,hero_name,heroine_name,music_director,genre_id,producer_name,duration,budget,ott_id,rating,language,crew_cast,release_date
21014,short,Katherine Cooper,Timothy,Tricia,Brian Lucas,9,Roger Harris,3:30:00,,4,9.7,hindi,Robert Huff,2013-05-29
21070,stuff,Roy Gomez,Jonathan,Tara,Dr. Heather Wilson MD,3,Joyce Alvarez,2:37:00,3394926.0,4,4.7,english,Steven Webster,2019-04-23
19988,easy,Ann Tran,Joseph,Alicia,Thomas Fisher,2,Kaylee Lowe,3:24:00,4797586.0,10,6.4,hindi,Michael Frazier,2021-08-30
16989,treat,Travis Davis,Christopher,Jennifer,Michael Gonzalez,11,Kaitlyn Smith,3:30:00,,5,6.3,telugu,Amanda Johnson,2009-05-29
7938,college,Michael Cardenas,Robert,Lisa,Nicholas Jenkins,2,Nancy Welch,2:34:00,,10,9.2,malayalam,Brittany Lopez,2014-03-21
23079,rock,Nathan Chaney,James,Diane,Susan Harris,9,Allison Martin,3:07:00,9613491.0,7,9.0,english,Justin Blackwell,2014-08-22
709,turn,Susan Mason,Russell,Tonya,Crystal Hopkins DDS,7,Jeanette King,2:34:00,5628574.0,6,4.3,hindi,Miss Denise Li,
11002,agree,Terri Hall,Norman,Nancy,Charles Lamb,7,Anne Johnson,2:56:00,8109719.0,6,6.8,hindi,William Carter,2018-05-23
9862,take,Tommy Paul,Jason,Pamela,Eileen Miller,6,Holly Solis,3:22:00,3626907.0,8,9.6,telugu,Brian Roberson,
3448,girl,Marcus Mathews,James,Carol,Jennifer Jordan,5,,3:27:00,1622359.0,7,7.2,malayalam,Christine Richardson,2012-07-14
5004,other,Aaron Martinez,Jonathan,Robin,Katie Chavez,9,Jenna Farrell,3:06:00,7872506.0,9,8.7,hindi,Elizabeth Rhodes,2011-12-29
20042,real,Amanda Black,David,Monica,Travis Davis,10,Jennifer Erickson,3:48:00,135430.0,4,6.7,malayalam,Reginald Logan,2023-07-10
16534,recently,Edwin Hernandez,Luis,Jennifer,William Rice,10,,3:05:00,6653316.0,8,4.0,telugu,William Brock,
22383,movie,Susan Glass,Patrick,Erin,Steven Salazar,4,Sarah Cooper,2:36:00,4246059.0,7,4.7,malayalam,Joshua Barnes,
8574,small,Mr. Christopher Wilkerson,Steven,Diane,Randy Williamson,4,Kelsey Rivera,2:36:00,6603325.0,2,4.8,hindi,Michael Williams,2019-05-16
9005,yeah,Lori Day,Jerry,Gabrielle,Christopher Williams,1,,3:11:00,2467029.0,4,2.8,malayalam,Jennifer Mckinney,2018-04-10
6913,position,Timothy Buchanan,Nicholas,Jessica,Kevin Walters,4,Manuel Wright,3:32:00,3201678.0,8,3.5,telugu,Jose Bennett,2015-03-01
18597,recent,Darlene Cooke,Christopher,Holly,Mark Simmons,1,Robert Cunningham,2:50:00,,7,6.4,malayalam,Elizabeth Silva,2011-04-29
24593,here,Carlos Berry,Larry,Christina,Heather Martinez,7,Kenneth Roach,3:34:00,,5,5.1,english,Eric Elliott,2015-05-03
8263,price,Mark Peterson,Daniel,Ashley,Sabrina Alexander,4,Christian Moreno,2:33:00,1380843.0,3,7.5,telugu,Jeffrey Smith,2013-01-30
18909,everything,Kevin Atkins,Reginald,Vanessa,Brandon Curry,7,,3:40:00,2023373.0,4,9.0,hindi,Nancy Kirby,2008-09-03
2710,both,Leah Hernandez,Louis,Jennifer,Dawn Brown,7,William Allen,3:33:00,57481.0,10,7.9,hindi,Jennifer Beard,
1038,bad,Gwendolyn Strickland,David,Jackie,Amanda Vargas,8,Katelyn Bell,3:03:00,2080691.0,3,7.5,hindi,Megan Leon,2010-05-05
17215,play,Michelle Conley,Kevin,Alicia,Dana Mckay,4,Joshua Obrien,3:23:00,3612337.0,6,2.9,kannada,Ryan Johnston,2021-02-09
15466,soon,Thomas Clark,David,Gloria,Kathleen Drake,10,Jason Thompson,2:33:00,7981309.0,8,4.7,hindi,Victoria Jones,2011-06-18
11372,impact,Kyle Johnson,Antonio,Tiffany,Juan Mueller,2,Peter Vaughn,3:47:00,164624.0,4,9.9,hindi,Mrs. Tonya Lucas,2012-03-19
4152,town,Dylan Sanders,Ronald,Wanda,Thomas Horne,1,Mary Padilla,3:26:00,4324819.0,9,9.2,kannada,Edward Alexander,2010-08-18
16676,charge,Carl Young,Dalton,Vickie,Sonya Harris MD,5,Stephanie Frank,2:39:00,,5,4.1,telugu,Lindsay Jones,2010-02-10
1083,officer,Renee Thompson,Christopher,Sonya,Carmen Lindsey,10,Kimberly Hahn,2:38:00,1409267.0,5,9.1,kannada,Jordan Harmon,2014-08-23
4034,a,Holly Morgan,George,Michaela,Kimberly Frank,3,Jennifer Blake,3:46:00,6790600.0,9,5.9,hindi,Jason Garcia,2014-08-01
15901,today,Chris Williams,Tim,Lori,Ashley Butler,10,Sandra Yoder,3:27:00,,7,4.9,malayalam,David Jackson,
12906,require,Sharon Navarro,Paul,Karina,Jeremy Lee,1,Jeffrey Montgomery,3:31:00,,4,3.8,telugu,Kurt Johnson,2006-05-06
11644,someone,Lisa Smith,Matthew,Barbara,Robyn Morton,1,Samantha Nguyen,3:05:00,3114708.0,3,2.2,kannada,Justin Foster,2006-03-06
22172,reason,Lindsey Pope,Brian,Lisa,Richard Smith,11,Gloria Evans,2:43:00,9414228.0,5,2.9,kannada,David Mccoy,2023-06-13
562,Mrs,Victoria White,David,Cindy,Christopher Carter,10,Karen Smith,3:29:00,3880895.0,6,2.3,malayalam,Kaitlyn Pratt,2007-01-02
2588,total,Antonio Hughes,Mark,Megan,Alyssa Jones,4,Terri Vang,2:33:00,3682020.0,5,3.9,telugu,Danielle Allen,2017-08-28
7061,until,Kimberly Warren,Antonio,Cheryl,Cameron Wright,9,Chad Lozano,3:26:00,2139877.0,8,7.1,hindi,Maureen Kidd,2014-04-23
21979,decide,Pamela Roberts,Raymond,Barbara,Gregory Norton,8,Mary Brown,2:56:00,981405.0,7,9.1,telugu,Desiree Hale,
18087,determine,Nicholas Montgomery,Stephen,Sarah,Herbert Lopez,12,Robert Hodge,2:40:00,3953059.0,3,7.1,kannada,Jennifer Smith,2015-04-16
1299,form,Victoria Sawyer,Brett,Jessica,Stephanie Kelley,5,Kathryn Watkins,2:37:00,3181543.0,8,6.5,english,Laura Baker,2022-07-16
22187,fall,Brandon Greene,Scott,Annette,Gregory Ross,11,Tyler Hughes,3:37:00,7989095.0,10,7.6,telugu,Jacob Ross,2007-07-28
200,sometimes,Andrew Cox,James,Tonya,Anthony Daniel,2,Donna Reed DVM,3:36:00,2411460.0,5,2.6,english,Carolyn Dixon,2012-08-14
22708,body,Michelle Everett,Dustin,Dawn,Karen Medina,4,Doris Cooper,2:45:00,9802717.0,2,8.8,kannada,Jean Morales,
7922,thought,Robert Martinez,Troy,Susan,Mariah Morgan,12,Jill Bean,3:31:00,8887497.0,4,8.4,malayalam,Kelly York,2011-03-02
21212,particularly,Andre Frazier,David,Tammy,Stephen Barr,6,,3:27:00,2758250.0,2,7.5,english,Susan Vazquez,2006-07-11
3299,carry,Jack Benjamin,Charles,Kimberly,John Lopez,8,Nancy Walker,3:34:00,7509012.0,6,5.9,telugu,Reginald Moody,2015-01-08
16871,like,Casey Turner,Nicholas,Cheryl,George Thomas,9,,2:58:00,3027995.0,10,5.5,english,Kristy Miller,2007-10-02
11909,part,Amanda Vega,Caleb,Holly,Sarah Martin,1,Paul Rodriguez,3:40:00,8336089.0,10,9.2,kannada,Seth Fernandez DDS,2014-06-02
22818,figure,Kelly Gutierrez,Anthony,Laurie,Robert Montes,2,Andre Harper,3:22:00,6913259.0,9,5.9,telugu,Anthony Pope,2021-07-07
15367,information,Daniel Morse,Benjamin,Allison,Shawn Maddox,7,,3:00:00,7840256.0,5,9.9,kannada,Bruce Parsons,2016-02-17
11565,relationship,Holly Martin,David,Christy,Virginia Griffin,8,Denise Todd,3:07:00,729555.0,3,9.6,hindi,Mrs. Amber Brewer MD,2020-02-11
2713,shake,Sean Bailey,Kevin,Amanda,Brett Mitchell,2,Brad Mitchell,3:42:00,174680.0,5,10.0,hindi,Nicole Cook,2006-12-30
18070,safe,David Mills,Charles,Ann,Nicole Roth,8,Jason Young,3:40:00,5579113.0,10,7.7,kannada,George Harrington,2005-09-25
16607,lose,Michael Oliver,James,Elizabeth,Dr. Casey Yates,8,Mr. Steven Schmitt,2:56:00,,8,2.8,malayalam,Heather Burke,2018-09-28
21216,someone,Brooke Bell,Craig,Kellie,Victoria Miller,5,Taylor Knight,3:16:00,8503455.0,3,9.7,malayalam,Stephanie Brennan,2013-12-13
6017,apply,Ashley Simon,Daniel,Brianna,Jenna Allen,3,,3:01:00,,9,3.8,kannada,John Webb,2013-07-18
16106,off,Melanie Marshall,Jason,Katherine,Anita Nelson,5,Dylan Johnson,3:03:00,6443225.0,10,9.6,kannada,Andrea Adkins,2021-09-21
4663,would,Rebecca Zuniga,David,Michelle,Melanie Snyder,1,Autumn Kelley,3:10:00,2866676.0,2,3.2,telugu,David Wang,
12517,owner,Christian Nguyen,Steven,Lisa,Matthew Jones,8,Monica Proctor,3:16:00,228191.0,9,2.5,telugu,Linda Luna,2016-08-15
5515,employee,Matthew Molina,Tanner,Carrie,Daniel Matthews,6,Jacob Mcintyre,3:47:00,1154877.0,5,6.6,malayalam,Dr. Ryan Ramos PhD,2011-12-10
8197,to,Sabrina Hutchinson,Matthew,Dana,Susan Schmidt,10,Cynthia Martinez,2:57:00,477633.0,1,2.3,english,Robert Wilson,2009-08-15
3793,two,Rebecca Parker,Nathan,Cathy,Kaitlin Allison,12,Charles Stanley,2:49:00,,1,2.6,telugu,Cameron Stephenson,2021-09-01
7550,camera,Emily Burns,Anthony,Elizabeth,Jessica Graves,7,Melissa Wilson,3:04:00,7845114.0,7,4.6,hindi,Nicole Brooks,2022-06-03
21739,above,Jennifer Meyers,Thomas,Sarah,Jeremy Wolf,2,Jason Wise,3:40:00,7482919.0,4,9.5,hindi,Mark Chen,2020-12-14
13021,receive,Rodney Keller,Joseph,Breanna,Jeff Wong,1,Katie Robbins,3:25:00,2550784.0,8,6.5,malayalam,Mark Moore,2007-11-23
23891,attention,Lee Jennings,Justin,Michelle,Haley Mercado,3,,2:36:00,7971335.0,1,9.0,malayalam,Paula Robinson,2015-05-09
12168,special,Paul Moreno,Shane,Amanda,Daniel Lawrence,7,Frederick Murray,3:47:00,2547137.0,8,9.2,hindi,Stacey Turner,2008-02-16
12948,tree,Ronald Hardy,Richard,Angela,Valerie Wolf,6,Matthew Beltran,2:50:00,1381190.0,5,3.6,hindi,Sara Moreno,2015-05-19
17260,else,Megan Andrews,Brandon,Tiffany,Michelle Reynolds,7,Michael Curry,3:37:00,8025550.0,1,9.4,malayalam,Phillip Snyder,2009-08-20
4250,father,Sonya Gomez,Charles,Kathryn,Ronald Vance,2,Stephanie Burch,2:47:00,5523143.0,6,6.6,kannada,Anna White,2010-08-18
8153,paper,Julie Ware,Brian,Megan,Elizabeth Welch,12,Emma Lewis,2:59:00,3181790.0,3,2.9,english,Brandon King,
11283,year,Michael Ross,Fred,Jennifer,Sandra Romero,3,Frank Garcia,3:39:00,8923967.0,6,5.7,malayalam,Taylor Carr,2005-08-02
6466,section,Dr. Jay Johnson,James,Julia,Jacob Hart DVM,8,Brandon Garza,3:20:00,5732822.0,4,4.5,english,Sharon Kim,2009-02-08
16881,hear,Craig Williams,Michael,Gail,Rachel Robinson,2,Benjamin Brown,3:29:00,3538114.0,5,5.3,english,Matthew Rodriguez,2004-05-13
5675,where,Nicholas Hernandez,Christopher,Ellen,Kevin Brady,9,Stacy Steele,3:39:00,4259186.0,3,8.3,hindi,Mary Morales,2010-04-14
21678,friend,Robert Sanchez,Andrew,Melissa,Matthew Campbell,4,Kenneth Torres,3:21:00,8949264.0,5,3.4,hindi,Mark Williams,2010-04-02
20492,special,Margaret Townsend,Darrell,Rachel,Harold Bradford,4,Sharon Dawson,3:43:00,2193140.0,1,9.4,telugu,Jeffrey Rios,2010-04-03
8963,pick,James Beard,Garrett,Erin,Justin Sanders,2,Jonathan Dillon,2:57:00,3330241.0,3,7.4,malayalam,Jill Beard,2015-01-31
17466,official,Cathy Jones,Martin,Deborah,Matthew Hines,9,Brian Torres,3:44:00,4644742.0,6,3.2,english,Christy Taylor,2011-11-18
11654,book,Hunter Reynolds,James,Melissa,Kelsey Rowe,9,Robert Murillo,2:37:00,5215691.0,2,7.4,hindi,Joshua Jones,2008-07-09
5323,right,Michael Washington,John,Michelle,David Bell,9,Stacey Hamilton,2:41:00,8097206.0,4,5.6,kannada,Mitchell Duncan DDS,2007-11-12
13535,score,Angelica Garner,Brandon,Sandra,Danielle Bates,10,Austin Perez,3:13:00,2448834.0,6,6.6,kannada,Julia Aguilar,
10159,simply,Katherine Nichols,Isaiah,Anne,Judy Alexander,5,John Powers,3:18:00,1634821.0,10,2.8,hindi,Miranda Powell,2009-02-12
7858,price,Mark Richardson,Ryan,Rhonda,Joseph Carter,2,Tammy Roy,3:06:00,3270014.0,9,5.3,english,Walter Hall,2007-05-18
405,detail,Joseph Andrade,Roy,Stephanie,Ryan Mcintosh,11,Emily Sanchez,2:40:00,9982518.0,9,3.2,english,Kevin Hansen,
9915,tend,Nicholas Wallace,David,Natasha,Kurt Vance,6,Emily Moore,3:05:00,705181.0,2,6.9,malayalam,Katherine Ramirez,2019-05-15
21003,century,Matthew Williams,Eric,Michelle,James Woodard,6,Diamond Hutchinson,3:40:00,47444.0,4,6.4,malayalam,Kim Burke,2014-03-25
5966,strategy,Nathaniel Wang,Bruce,Michelle,Kathleen Frye,7,Michael Nichols,2:48:00,8437054.0,8,4.5,english,Laura Patterson,
11582,individual,Kyle Baker,Devin,Mary,Scott Eaton,4,Bill Potter,3:20:00,6335124.0,1,8.8,telugu,Morgan Moreno,2019-05-01
7992,west,Sarah Blake,Michael,Cassie,Robert Rivera,2,Katherine Lucas,3:16:00,7763385.0,6,4.2,malayalam,Jacqueline Thomas,2009-08-08
3656,size,Tyler Obrien,Jacob,Dawn,David Kaufman,4,Amy Allen,2:59:00,5679290.0,6,3.7,hindi,John Carroll,2020-09-05
24013,far,Stephen Harmon,Donald,Colleen,Ryan Aguirre,7,Leroy Brennan,2:41:00,8292118.0,4,8.6,malayalam,Katherine Davis,2011-03-22
3157,several,Christina Clarke,John,Elizabeth,Ricky Murray,8,Gina Gomez,3:36:00,7191515.0,8,2.4,telugu,Alexander Nelson,2020-09-18
19260,size,Teresa Stewart,Brandon,Jessica,Amanda Bentley,1,Matthew Stanley,3:36:00,4135097.0,1,9.0,telugu,Timothy Cook,2011-03-15
16030,into,Hannah Crosby,David,Amanda,Seth Haynes,4,Alejandra Perry,3:10:00,4058221.0,3,8.4,telugu,Melissa Hanson,2012-03-23
14281,ready,William Franklin,Joseph,Kayla,Karina Hanson,3,Brandon Murphy,2:38:00,1794473.0,10,9.1,malayalam,Ashley Mclean,2018-12-06
15811,see,John Anderson,Robert,Sabrina,Maurice Ramsey,9,Ruben Petersen,2:42:00,1722302.0,6,3.6,kannada,Carolyn Noble,2020-03-17
17912,cup,Laura Jackson,Manuel,Stephanie,Wendy Hoffman,3,Cody Johnson,3:22:00,2459228.0,4,9.7,malayalam,Kimberly Mendez,2011-03-07
3312,key,Brian Bird,Paul,Tara,Alicia Garrison,10,Taylor Stevenson,3:01:00,2303488.0,4,5.0,kannada,Todd Price,2014-05-27
10511,everything,Martin Kelly,Omar,Betty,Amy Ball,7,Alexandria Bartlett,3:12:00,5160536.0,10,4.3,english,Gary Walton,2006-01-21
12752,choose,Eric Lane,Eric,Carrie,Shannon Kim,2,Amy Townsend,3:41:00,,4,2.4,telugu,Ruth Fernandez MD,2004-08-03
1012,sometimes,Michelle Hanson,Antonio,Sandra,Suzanne Lee,2,Cody Cole,3:33:00,5927156.0,7,8.2,kannada,Jessica Freeman,2014-05-31
13274,necessary,Taylor Ewing,George,Elizabeth,Roy Taylor,8,Patricia Davis,2:41:00,,7,9.7,malayalam,Leonard Dennis,2013-12-07
14143,spring,Luke Hart,Taylor,Ann,Nicole Greer,2,Bradley Scott,3:04:00,9692623.0,5,9.4,telugu,Elizabeth Adams,
15899,school,Jim Morris,Noah,Kimberly,Jonathon Martinez,12,Melissa Myers,3:09:00,404129.0,3,3.9,hindi,Jacob Munoz,2015-08-02
18965,could,William Salazar,Wesley,Michelle,Matthew Schaefer,2,Steven Sanders,3:41:00,8014827.0,8,3.5,english,Mary Gonzales,2013-10-17
7793,practice,Kenneth Martinez,Alexander,Karen,Mr. David Harrington,2,,3:00:00,3131147.0,7,6.8,kannada,John Armstrong,2012-11-28
12316,world,Ryan Solomon,Colin,Kelsey,Heather Miller,4,Dorothy Hayes MD,3:10:00,9722655.0,7,6.8,telugu,Stephen Myers,2016-02-22
9706,then,Sarah Duran,Kyle,Kathleen,John Marshall,5,,2:39:00,6584126.0,10,6.1,malayalam,Joseph Calderon,2022-01-10
4362,try,Valerie Hunt,Travis,Ashley,Patricia Perry,4,,3:47:00,1164333.0,5,5.0,malayalam,Stephanie Kelly,2015-03-28
5891,cover,Brian Austin,Joshua,Suzanne,Jack Contreras,9,Kayla Ewing,3:04:00,5756271.0,9,7.2,english,Dale Watson,2011-03-01
20155,point,John Lambert,Todd,Rhonda,Michael Montgomery,9,Jose Reyes,2:40:00,5890142.0,5,3.5,kannada,Antonio Horton,2006-07-20
24125,treat,Jacob Washington,Adam,Rebecca,Natalie Diaz,2,,3:47:00,5937838.0,3,7.7,telugu,Christine Becker,2016-05-09
12544,realize,Suzanne Ortiz,Richard,Paula,Amanda Lewis,10,Clinton Shaw,2:32:00,7788855.0,5,4.3,hindi,Lauren Perkins,2007-01-15
22352,take,Joshua Murphy,Allen,Rebecca,Anthony Smith,2,Mark Ferrell,2:33:00,7343782.0,5,5.4,malayalam,William Cooper,2008-01-25
23198,wrong,Dustin Johnson,Robert,Leslie,Elizabeth Koch,2,Carl Ellison,2:30:00,3627646.0,4,9.8,malayalam,Kathy Orr MD,2004-04-23
20974,cup,Lori Taylor,Gregory,Misty,Blake Allen,2,Barbara Ingram,3:18:00,5668082.0,3,8.0,malayalam,Chad Zamora,2005-03-23
7681,wonder,Hannah Moon,Victor,Monica,Michael White,4,,2:47:00,9481762.0,2,7.7,hindi,Angela Phillips,
23232,whether,Jason Ward,Robert,Emily,Christine Ramos,2,Joshua Norman,2:38:00,7012645.0,2,6.3,hindi,Jesse Berger,2005-02-04
9289,natural,Donna Perkins,Joshua,Carrie,Christopher Taylor,3,Rebecca Morales,2:53:00,4065710.0,3,4.0,malayalam,Bryce Martinez,2018-06-27
22685,rest,Shelly Buchanan,Brandon,Linda,Melissa Price,8,Benjamin Coleman,3:39:00,7215764.0,7,5.0,malayalam,Todd Baker,2005-06-03
1641,task,Abigail Powell,Jerry,Christina,Kyle Love,4,,3:41:00,,10,3.8,kannada,Larry Schwartz,2019-12-13
2754,view,Sarah Wilson,Christopher,Alicia,Hannah Cook,4,Michael Garcia,3:47:00,8090276.0,2,4.5,kannada,Jessica Brown,2011-01-22
6759,man,Kimberly Cook,Andrew,Brenda,Michael Schwartz,5,Maria Silva,3:43:00,44709.0,3,2.9,english,Amber Mills,2006-08-11
4162,rise,Caleb Johnson,Larry,Stacy,Kathleen Sexton,5,Carl Fox,2:39:00,7664367.0,5,8.6,hindi,Robert Kaufman,2021-01-30
